,,"Table 8L: VETPOP2018 LIVING VETERANS BY STATE, RACE/ETHNICITY, GENDER, 2018-2048",,,,,,,,,,,,,
Minnesota,"305,641","286,907","8,821","3,574","1,540",0,254,"4,546","4,810","282,498",,,,,
Mississippi,"168,970","119,485","44,876",556,"1,683",90,722,"1,557","3,679","116,913",,,,,
Missouri,"400,434","351,474","37,991","2,268","1,485",81,"1,818","5,317","6,949","346,371",,,,,
Montana,"83,234","76,219",579,"4,797",174,3,364,"1,098","2,273","75,123",,,,,
Nebraska,"120,338","111,206","5,562","1,066",730,42,418,"1,314","4,842","107,345",,,,,
Nevada,"205,232","159,296","21,195","1,636","9,353","1,303","5,819","6,630","20,815","146,898",,,,,
New Hampshire,"94,391","91,656",391,374,528,130,136,"1,176","1,310","91,002",,,,,
New Jersey,"334,415","273,413","41,348",390,"5,320",0,"8,456","5,489","35,478","250,469",,,,,
New Mexico,"140,714","116,471","6,917","7,842","1,141",358,"4,722","3,263","45,141","78,261",,,,,
New York,"727,425","603,652","79,948","3,268","11,364",0,"16,377","12,816","60,498","569,938",,,,,
North Carolina,"638,962","485,578","128,055","5,931","2,921","1,033","4,845","10,599","19,565","473,919",,,,,
North Dakota,"50,004","46,484",93,"1,285",484,0,448,"1,210",994,"45,634",,,,,
Ohio,"708,818","622,781","66,772","2,335","4,138",159,"2,643","9,990","13,417","613,367",,,,,
Oklahoma,"275,421","223,398","18,331","15,416","2,499",196,"4,105","11,476","11,268","216,302",,,,,
Oregon,"278,848","255,214","4,398","4,284","3,915",984,"1,208","8,844","10,724","247,553",,,,,
Pennsylvania,"771,068","682,708","66,199","1,790","4,475",142,"6,058","9,696","26,010","665,077",,,,,
Rhode Island,"60,589","55,858","1,535",247,676,0,515,"1,757","2,102","54,360",,,,,
South Carolina,"360,558","271,499","78,508","1,023","1,540",168,"1,450","6,370","8,600","265,250",,,,,
South Dakota,"60,373","53,714","1,050","4,145",168,1,13,"1,282",826,"53,064",,,,,
Tennessee,"423,999","357,525","55,263",524,"2,583",372,"2,210","5,522","9,055","351,517",,,,,
Texas,"1,412,458","1,136,395","186,182","7,871","18,063","2,840","29,395","31,712","264,407","917,949",,,,,
Utah,"127,295","117,027","2,264",932,738,701,"2,080","3,554","6,802","112,600",,,,,
Vermont,"40,335","38,544",122,418,28,2,29,"1,193",680,"38,045",,,,,
Virginia,"631,057","466,978","127,563",990,"13,640",494,"7,336","14,056","30,778","447,120",,,,,
Washington,"509,284","439,152","26,552","4,271","13,848","3,010","5,753","16,697","24,801","422,870",,,,,
West Virginia,"132,186","125,309","4,548",72,639,0,126,"1,491",919,"124,526",,,,,
Wisconsin,"339,676","317,083","10,760","4,033","1,859",197,"1,747","3,997","8,994","310,297",,,,,
Wyoming,"44,569","41,270","1,200",577,200,1,701,619,"1,635","40,369",,,,,
Puerto Rico,"72,055","47,728","11,150",69,0,0,"9,733","3,376","70,459","1,083",,,,,
Island Areas & Foreign,"88,023","63,288","11,856",748,"4,390","4,608","1,107","2,026","6,054","59,475",,,,,
Grand Total,"18,335,543","15,075,566","2,121,172","143,949","312,260","37,926","259,393","385,277","1,395,009","14,080,016",,,,,
